fight_id,date,name,round,title,method,sig_attempts,sig_strikes,strike_attempts,strikes,td_attempts,takedowns,sub_attempts,pass,reversals,head_attempts,head,body_attempts,body,leg_attempts,leg,distance_attempts,distance,clinch_attempts,clinch,ground_attempts,ground,win/loss
3949,1995,Paul Varelans,1,no,Submission,3,2,6,4,1,1,2,2,0,3,2,0,0,0,0,1,0,0,0,2,2,W
3950,1995,Larry Cureton,1,no,Submission,7,6,14,11,0,0,1,0,1,3,2,4,4,0,0,0,0,0,0,7,6,L
3950,1995,Marco Ruas,1,no,Submission,1,1,2,2,1,1,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,W
3951,1995,Ryan Parker,1,no,Submission,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3951,1995,Remco Pardoel,1,no,Submission,0,0,16,16,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,W
3952,1995,Harold Howard,1,no,KO/TKO,5,4,8,5,2,1,0,0,0,1,1,4,3,0,0,2,2,3,2,0,0,L
3952,1995,Mark Hall,1,no,KO/TKO,4,1,23,13,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,3,1,W
3953,1995,Gerry Harris,1,no,KO/TKO,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,L
3953,1995,Paul Varelans,1,no,KO/TKO,4,4,38,35,1,1,0,3,0,4,4,0,0,0,0,0,0,0,0,4,4,W
3954,1995,David Hood,1,no,Submission,3,2,3,2,0,0,0,0,0,0,0,0,0,3,2,2,1,1,1,0,0,L
3954,1995,Scott Bessac,1,no,Submission,5,1,5,1,0,0,2,0,0,4,0,1,1,0,0,4,0,1,1,0,0,W
3936,1995,Oleg Taktarov,2,yes,Decision,29,8,47,26,1,0,1,0,0,23,4,3,1,3,3,29,8,0,0,0,0,L
3936,1995,Dan Severn,2,yes,Decision,79,24,277,198,0,0,0,5,0,73,18,5,5,1,1,60,7,0,0,19,17,W
3937,1995,Marco Ruas,1,no,Decision,53,14,68,29,0,0,0,0,0,31,3,0,0,22,11,52,14,0,0,1,0,L
3937,1995,Oleg Taktarov,1,no,Decision,33,6,37,10,3,0,1,0,0,19,2,1,0,13,4,33,6,0,0,0,0,W
3938,1995,David Abbott,1,no,Decision,6,3,16,11,0,0,0,0,0,6,3,0,0,0,0,2,0,3,2,1,1,L
3938,1995,Dan Severn,1,no,Decision,65,57,253,233,2,1,0,0,0,43,36,17,16,5,5,0,0,5,5,60,52,W
3939,1995,Dave Beneteau,1,no,Submission,5,2,5,2,0,0,0,0,0,4,1,0,0,1,1,2,0,1,1,2,1,L
3939,1995,Oleg Taktarov,1,no,Submission,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,W
3940,1995,Keith Hackney,1,no,Submission,4,1,4,1,0,0,0,0,0,2,0,0,0,2,1,4,1,0,0,0,0,L
3940,1995,Marco Ruas,1,no,Submission,10,7,15,11,2,1,1,1,0,8,5,0,0,2,2,3,2,0,0,7,5,W
3941,1995,Paul Varelans,1,no,Submission,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,L
3941,1995,Dan Severn,1,no,Submission,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,W
3942,1995,Steve Jennum,1,no,Submission,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,L
3942,1995,David Abbott,1,no,Submission,1,1,5,3,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,W
3927,1996,Gary Goodridge,1,yes,KO/TKO,6,2,6,2,3,1,0,0,0,4,1,2,1,0,0,3,0,3,2,0,0,L
3927,1996,Don Frye,1,yes,KO/TKO,21,12,37,27,0,0,0,1,1,18,9,0,0,3,3,6,2,11,7,4,3,W
3928,1996,Kimo Leopoldo,1,no,Submission,5,4,6,5,0,0,0,1,1,4,3,1,1,0,0,1,1,0,0,4,3,L
3928,1996,Ken Shamrock,1,no,Submission,1,0,14,13,1,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,W
3929,1996,Jerry Bohlander,1,no,KO/TKO,8,1,28,18,1,0,0,2,1,8,1,0,0,0,0,0,0,0,0,8,1,L
3929,1996,Gary Goodridge,1,no,KO/TKO,6,3,10,7,1,1,1,1,1,6,3,0,0,0,0,1,0,0,0,5,3,W
3930,1996,Sam Adkins,1,no,TKO,3,0,4,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,L
3930,1996,Don Frye,1,no,TKO,9,5,24,19,1,1,0,1,0,9,5,0,0,0,0,3,0,0,0,6,5,W
3931,1996,Paul Herrera,1,no,KO/TKO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3931,1996,Gary Goodridge,1,no,KO/TKO,8,8,8,8,1,1,0,0,0,8,8,0,0,0,0,0,0,0,0,8,8,W
3932,1996,Scott Ferrozzo,1,no,Submission,12,9,20,17,4,2,1,0,0,8,6,2,2,2,1,2,1,6,4,4,4,L
3932,1996,Jerry Bohlander,1,no,Submission,9,7,33,27,0,0,1,0,0,3,3,2,2,4,2,6,4,2,2,1,1,W
3933,1996,Joe Moreira,1,no,Decision,28,12,28,12,3,0,0,0,0,14,5,2,2,12,5,17,9,11,3,0,0,L
3933,1996,Paul Varelans,1,no,Decision,38,9,51,20,0,0,0,0,0,32,5,1,0,5,4,28,6,10,3,0,0,W
3934,1996,Thomas Ramirez,1,no,KO/TKO,2,1,2,1,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,L
3934,1996,Don Frye,1,no,KO/TKO,4,3,4,3,0,0,0,0,0,4,3,0,0,0,0,3,2,0,0,1,1,W
3920,1996,Ken Shamrock,3,no,Decision,81,18,122,59,1,0,0,1,0,71,9,10,9,0,0,71,8,1,1,9,9,L
3920,1996,Dan Severn,3,no,Decision,75,16,94,32,2,0,0,0,1,70,13,0,0,5,3,62,9,4,1,9,6,W
3921,1996,Amaury Bitetti,1,no,KO/TKO,5,2,30,24,6,0,0,0,0,4,1,0,0,1,1,2,2,3,0,0,0,L
3921,1996,Don Frye,1,no,KO/TKO,59,46,98,82,1,1,0,2,0,39,27,20,19,0,0,5,1,16,11,38,34,W
3922,1996,Koji Kitao,1,no,TKO,2,1,2,1,1,1,0,1,0,2,1,0,0,0,0,1,0,1,1,0,0,L
3922,1996,Mark Hall,1,no,TKO,3,3,4,4,0,0,0,0,0,2,2,0,0,1,1,2,2,0,0,1,1,W
3923,1996,Gary Goodridge,1,no,TKO,4,1,7,3,0,0,0,0,0,3,0,0,0,1,1,4,1,0,0,0,0,L
3923,1996,Mark Schultz,1,no,TKO,29,8,96,74,3,3,0,5,0,27,7,1,1,1,0,2,1,0,0,27,7,W
3924,1996,Matt Andersen,1,no,KO/TKO,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3924,1996,Rafael Carino,1,no,KO/TKO,17,8,48,33,1,1,0,3,0,17,8,0,0,0,0,0,0,0,0,17,8,W
3925,1996,Zane Frazier,1,no,KO/TKO,2,1,2,1,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,L
3925,1996,Cal Worsham,1,no,KO/TKO,11,9,33,29,1,1,0,1,0,6,6,2,2,3,1,3,1,0,0,8,8,W
3926,1996,Tai Bowden,1,no,TKO,4,4,20,20,0,0,0,0,0,2,2,0,0,2,2,2,2,2,2,0,0,L
3926,1996,Steve Nelmark,1,no,TKO,16,13,43,39,2,2,1,4,0,15,12,1,1,0,0,2,1,1,1,13,11,W
3911,1996,Don Frye,1,yes,KO/TKO,6,1,22,17,2,0,0,0,1,6,1,0,0,0,0,6,1,0,0,0,0,L
3911,1996,Mark Coleman,1,yes,KO/TKO,60,34,105,71,5,3,2,6,0,56,30,4,4,0,0,4,2,5,4,51,28,W
3912,1996,Gary Goodridge,1,no,Submission,7,3,13,8,0,0,0,0,0,4,1,2,1,1,1,3,0,4,3,0,0,L
3912,1996,Mark Coleman,1,no,Submission,48,33,70,51,2,2,0,2,0,48,33,0,0,0,0,3,2,26,19,19,12,W
3913,1996,Brian Johnston,1,no,KO/TKO,22,11,39,28,0,0,0,1,0,13,5,6,4,3,2,6,0,16,11,0,0,L
3913,1996,Don Frye,1,no,KO/TKO,16,11,48,42,1,1,0,2,0,9,4,7,7,0,0,4,1,7,5,5,5,W
3914,1996,John Campetella,1,no,KO/TKO,7,5,10,8,1,0,0,0,0,4,3,2,1,1,1,0,0,7,5,0,0,L
3914,1996,Gary Goodridge,1,no,KO/TKO,6,5,7,6,0,0,0,1,1,6,5,0,0,0,0,3,2,0,0,3,3,W
3915,1996,Moti Horenstein,1,no,KO/TKO,1,0,21,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,L
3915,1996,Mark Coleman,1,no,KO/TKO,30,25,38,33,2,1,0,1,0,25,20,5,5,0,0,0,0,0,0,30,25,W
3916,1996,Scott Fiedler,1,no,KO/TKO,4,3,7,5,0,0,0,1,0,3,2,0,0,1,1,1,1,0,0,3,2,L
3916,1996,Brian Johnston,1,no,KO/TKO,5,2,17,13,2,1,1,2,1,5,2,0,0,0,0,0,0,0,0,5,2,W
3917,1996,Mark Hall,1,no,KO/TKO,2,2,26,22,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,L
3917,1996,Don Frye,1,no,KO/TKO,28,27,191,182,1,1,0,2,0,8,8,20,19,0,0,0,0,0,0,28,27,W
3919,1996,Dieusel Berto,1,no,KO/TKO,5,3,11,9,1,0,0,1,0,5,3,0,0,0,0,1,0,4,3,0,0,L
