name,height,reach,age
Khabib Nurmagomedov,177,70,28
Dong Hyun Kim2,180,70,28
Gabriel Benitez,172,71,28
Magomed Mustafaev,172,71,28
Alan Omer,177,71,28
James Moontasri,177,71,28
Damon Jackson,180,71,28
Patrick Walsh,180,71,28
Alex White,182,71,28
Li Jingliang,182,71,28
David Michaud,175,72,28
Antonio Dos Santos,177,72,28
Makwan Amirkhani,177,72,28
Dan Lauzon,177,72,28
Jorge Lopez,177,72,28
Belal Muhammad,180,72,28
Colby Covington,180,72,28
Gunnar Nelson,180,72,28
Lucas Martins,182,72,28
Sabah Homasi,182,72,28
Felipe Arantes,172,73,28
Mairbek Taisumov,175,73,28
Alex Caceres,177,73,28
Joe Duffy,177,73,28
Myles Jury,177,73,28
Andreas Stahl,180,73,28
Lance Benoist,180,73,28
Paul Sass,182,73,28
Richard Walsh,182,73,28
Amilcar Alves,182,73,28
Andrew Sanchez,185,73,28
Tom Egan,180,73.9,28
Conor McGregor,175,74,28
Dominique Steele,177,74,28
Josh Grispi,180,74,28
Cody East,190,74,28
Ramsey Nijem,180,75,28
TJ Waldburger,180,75,28
Elias Theodorou,185,75,28
Ronny Markes,185,75,28
Scott Askham,190,75,28
Alex Oliveira,180,76,28
Bojan Velickovic,182,76,28
Jack Hermansson,185,77,28
Cory Hendricks,190,77,28
Anthony Smith,193,77,28
Luke Barnatt,198,77,28
Jake Collier,190,78,28
Dustin Jacoby,193,78,28
Josh Samman,190,79,28
Justin Ledet,193,80,28
Alexander Volkov,200,80,28
Stefan Struve,210,84,28
Seohee Ham,157,62,29
Carla Esparza,154,63,29
Aisling Daly,157,64,29
Henry Cejudo,162,64,29
Joanna Jedrzejczyk,167,65,29
Joe Soto,167,65,29
Rodolfo Rubio,165,66,29
Motonobu Tezuka,170,66,29
Darrell Montague,167,67,29
Jon Delos Reyes,167,67,29
Cortney Casey,170,67,29
Ashlee Evans-Smith,172,67,29
Diego Brandao,170,68,29
Mike Wilkinson,170,68,29
Nick Pace,170,68,29
